,E-1,E-10,E-2,E-3,E-4,E-5,E-6,E-7,E-8,E-9,LINEAR_FORECAST,VALUE,Z-1,Z-10,Z-2,Z-3,Z-4,Z-5,Z-6,Z-7,Z-8,Z-9
0,32.5549906849,7.17863836284,16.9955012598,22.2211426518,-6.3724060524,-4.94915603939,4.62855773506,5.20540214188,-23.9691293353,22.378059908,117.82999108,100.8,73.5450093151,55.7213616372,52.8044987402,15.5788573482,17.7724060524,25.8491560394,31.7714422649,39.8945978581,85.1691293353,63.521940092
1,-17.0299910803,22.378059908,32.5549906849,16.9955012598,22.2211426518,-6.3724060524,-4.94915603939,4.62855773506,5.20540214188,-23.9691293353,94.8199381219,81.6,117.82999108,63.521940092,73.5450093151,52.8044987402,15.5788573482,17.7724060524,25.8491560394,31.7714422649,39.8945978581,85.1691293353
2,-13.2199381219,-23.9691293353,-17.0299910803,32.5549906849,16.9955012598,22.2211426518,-6.3724060524,-4.94915603939,4.62855773506,5.20540214188,68.2371009141,66.5,94.8199381219,85.1691293353,117.82999108,73.5450093151,52.8044987402,15.5788573482,17.7724060524,25.8491560394,31.7714422649,39.8945978581
3,-1.73710091413,5.20540214188,-13.2199381219,-17.0299910803,32.5549906849,16.9955012598,22.2211426518,-6.3724060524,-4.94915603939,4.62855773506,53.6055730405,34.8,68.2371009141,39.8945978581,94.8199381219,117.82999108,73.5450093151,52.8044987402,15.5788573482,17.7724060524,25.8491560394,31.7714422649
4,-18.8055730405,4.62855773506,-1.73710091413,-13.2199381219,-17.0299910803,32.5549906849,16.9955012598,22.2211426518,-6.3724060524,-4.94915603939,20.7028565249,30.6,53.6055730405,31.7714422649,68.2371009141,94.8199381219,117.82999108,73.5450093151,52.8044987402,15.5788573482,17.7724060524,25.8491560394
5,9.89714347515,-4.94915603939,-18.8055730405,-1.73710091413,-13.2199381219,-17.0299910803,32.5549906849,16.9955012598,22.2211426518,-6.3724060524,23.6235216757,7.0,20.7028565249,25.8491560394,53.6055730405,68.2371009141,94.8199381219,117.82999108,73.5450093151,52.8044987402,15.5788573482,17.7724060524
6,-16.6235216757,-6.3724060524,9.89714347515,-18.8055730405,-1.73710091413,-13.2199381219,-17.0299910803,32.5549906849,16.9955012598,22.2211426518,10.2579168443,19.8,23.6235216757,17.7724060524,20.7028565249,53.6055730405,68.2371009141,94.8199381219,117.82999108,73.5450093151,52.8044987402,15.5788573482
7,9.54208315574,22.2211426518,-16.6235216757,9.89714347515,-18.8055730405,-1.73710091413,-13.2199381219,-17.0299910803,32.5549906849,16.9955012598,36.978524392,92.5,10.2579168443,15.5788573482,23.6235216757,20.7028565249,53.6055730405,68.2371009141,94.8199381219,117.82999108,73.5450093151,52.8044987402
8,55.521475608,16.9955012598,9.54208315574,-16.6235216757,9.89714347515,-18.8055730405,-1.73710091413,-13.2199381219,-17.0299910803,32.5549906849,120.217038796,154.4,36.978524392,52.8044987402,10.2579168443,23.6235216757,20.7028565249,53.6055730405,68.2371009141,94.8199381219,117.82999108,73.5450093151
9,34.1829612038,32.5549906849,55.521475608,9.54208315574,-16.6235216757,9.89714347515,-18.8055730405,-1.73710091413,-13.2199381219,-17.0299910803,173.307212449,125.9,120.217038796,73.5450093151,36.978524392,10.2579168443,23.6235216757,20.7028565249,53.6055730405,68.2371009141,94.8199381219,117.82999108
